QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20232,05223463,4,0,1,321,D,,A,,A,4,D,,A,3,,438,D,D
20232,05223463,5,0,1,365,D,,A,04,D,,A,,A,,,22,A,D
20232,05223623,4,0,2,365,D,,A,02,D,,A,,A,,,150,A,D
20232,05223783,7,0,1,200,D,,A,13,D,,A,,A,,2,600,A,D
20232,05223783,8,0,1,225,D,,A,13,D,,A,,A,,,180,A,D
20232,05223823,4,0,1,200,D,,A,04,D,,A,,A,,,286,A,D
20232,05224003,3,0,2,303,D,,A,02,D,,A,,A,,,1100,A,D
20232,05224143,7,0,2,302,D,,A,02,D,,A,,A,,,1800,A,D
20232,05224154,11,0,1,100,D,1,D,13,D,,A,,A,,,1500,A,D
20232,05224154,12,0,1,200,D,,A,04,D,,A,,A,,,1000,A,D
20232,05224154,13,0,1,200,D,,A,13,D,,A,,A,,,600,A,D
20232,05224203,3,0,1,321,D,,A,,A,5,D,200,D,,,200,A,D
20232,05224343,5,0,1,200,D,,A,13,D,,A,,A,,2,585,A,D
20232,05224643,44,0,1,225,D,,A,03,D,,A,,A,,,200,A,D
20232,05224643,45,0,1,225,D,,A,04,D,,A,,A,,,200,A,D
20232,05224853,3,0,1,365,D,,A,02,D,,A,,A,,,65,A,D
20232,05224933,6,0,1,303,D,,A,02,D,,A,,A,,,16000,A,D
20232,05225133,7,0,1,301,D,,A,13,D,,A,,A,,,225,A,D
20232,05225133,8,0,1,301,D,,A,05,D,,A,,A,,,50,A,D
20232,05225363,4,0,1,200,D,,A,05,D,,A,,A,,,160,A,D
20232,05225453,3,0,1,303,D,,A,13,D,,A,,A,,,810,A,D
20232,05225753,19,0,1,365,D,,A,04,D,,A,,A,,,30,A,D
20232,05226043,3,0,2,365,D,,A,03,D,,A,,A,,1,170,A,D
20232,05226303,9,0,1,225,D,,A,13,D,,A,,A,,,450,A,D
20232,05226723,7,0,1,100,D,2,D,13,D,,A,,A,,,2100,A,D
20232,05226723,8,0,1,321,D,,A,,A,4,D,,A,3,,120,D,D
20232,05226753,8,0,1,100,D,2,D,03,D,,A,,A,,,2000,A,D
20232,05226803,7,0,2,303,D,,A,03,D,,A,,A,,,3500,A,D
20232,05226823,19,0,1,310,D,,A,13,D,,A,,A,,,4935,A,D
20232,05226903,4,0,1,200,D,,A,13,D,,A,,A,,,1800,A,D
20232,05227383,3,0,1,321,D,,A,,A,2,D,,A,,,,C,A
20232,05227673,8,0,1,303,D,,A,05,D,,A,,A,,,3000,A,D
20232,05227943,4,0,1,321,D,,A,,A,4,D,,A,3,,360,D,D
