QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20233,05350142,4,0,1,370,D,1,D,06,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350142,5,0,1,380,D,1,D,07,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350192,2,0,1,460,D,1,D,05,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350232,2,0,1,120,D,1,D,07,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350462,1,0,2,380,D,1,D,05,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350562,1,0,2,120,D,1,D,05,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350732,3,0,1,120,D,1,D,07,D,399,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350732,4,0,1,450,D,1,D,05,D,111,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350772,2,0,1,370,D,1,D,06,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350772,3,0,1,380,D,1,D,07,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350772,4,0,2,370,D,1,D,05,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350822,1,0,2,120,D,1,D,05,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05350842,5,0,1,370,D,2,D,05,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05351072,10,0,1,450,D,1,D,05,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05351322,3,0,1,380,D,1,D,06,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05351472,2,0,1,120,D,1,D,06,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05351962,1,0,1,370,D,1,D,07,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05351962,2,0,1,380,D,1,D,06,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05352162,2,0,1,450,D,1,D,07,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05352492,3,0,1,380,D,1,D,07,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05352902,6,0,1,120,D,1,D,07,D,168,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05352902,7,0,1,380,D,1,D,07,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05352902,8,0,1,470,D,1,D,07,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05352902,9,0,1,450,D,1,D,07,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05352932,3,0,1,120,D,1,D,07,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05353272,2,0,1,470,D,1,D,07,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05353272,3,0,1,450,D,1,D,06,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05353272,4,0,2,470,D,1,D,05,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05353332,4,0,1,380,D,2,D,05,D,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05353442,10,0,1,120,D,1,D,05,D,630,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05354752,2,0,1,470,D,1,D,05,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05354792,4,0,2,380,D,1,D,05,D,273,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05355632,6,0,1,400,D,1,D,08,D,,H,400,D,380,D,,A,,A,,A,,A,,A,,A,,A,
20233,05355632,6,1,1,370,D,1,D,08,D,67,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05355632,6,2,1,380,D,1,D,08,D,33,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05356212,1,0,2,480,D,1,D,06,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05356362,2,0,2,480,D,1,D,06,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,3
20233,05357032,4,0,1,380,D,1,D,06,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05357112,4,0,1,450,D,1,D,06,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05357732,1,0,1,480,D,1,D,08,D,250,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05357732,2,0,1,380,D,1,D,08,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05357802,1,0,2,450,D,1,D,06,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05357822,3,0,1,120,D,1,D,07,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05357992,3,0,1,470,D,1,D,08,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05358202,1,0,1,380,D,1,D,06,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05358592,1,0,2,380,D,1,D,06,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05358912,1,0,1,450,D,1,D,07,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05358932,2,0,1,120,D,1,D,08,D,300,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05358932,3,0,1,450,D,1,D,08,D,25,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05359082,12,0,1,490,D,1,D,06,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05359082,13,0,1,490,D,1,D,07,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
