QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20232,05094404,13,0,5,01,D,100,D,,A,3,D,,B,1975,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094414,21,0,5,01,D,100,D,,A,3,D,,B,1983,D,,A,,A,,A,2800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094504,17,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094554,11,0,5,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094554,12,0,5,02,D,300,D,,A,3,D,,B,1970,D,,A,,A,,A,300,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05094674,16,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094734,20,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,12000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094824,21,0,1,01,D,100,D,,A,3,D,,B,1992,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094874,32,0,5,01,D,200,D,,A,3,D,,B,1975,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05094904,26,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094914,18,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
