consumer_unit_id,age_of_reference_person,education_level,region_code,income_range_code,total_annual_spending,spending_class
5222003,59,,West,1.0,172628.000000019,High
5222103,64,,South,5.0,115072.999999,Medium
5222143,39,,West,1.0,12172.199999991999,Low
5222233,41,,Northeast,1.0,167969.999998999,High
5222333,67,,Midwest,1.0,60117.999999,Medium
5222373,28,,South,1.0,49977.000000012,Medium
5222433,45,,South,1.0,299952.999999,High
5222453,31,,Northeast,1.0,56379.999999911,Medium
5222523,43,,South,1.0,58679.000000991,Medium
5222593,46,,West,3.0,271301.999999017,High
5222683,33,,South,1.0,143118.000000988,High
5222933,57,,West,1.0,165511.00000102,High
5222953,47,,South,1.0,161105.0000009881,High
5222983,67,,West,1.0,23706.600000009,Low
5223093,31,,West,1.0,211716.000000009,High
5223303,53,,South,1.0,153936.00000112,High
5223383,59,,Northeast,1.0,188695.999998999,High
5223413,61,,Northeast,1.0,92441.00000001,Medium
5223433,36,,South,5.0,148704.99999993,High
5223643,70,,Northeast,5.0,757253.000000929,High
5223653,39,,West,1.0,9299.999999999,Low
5223913,53,,South,1.0,181352.25000099,High
5223963,69,,South,1.0,301912.250001119,High
5224133,62,,West,1.0,563645.999990031,High
5224143,38,,Northeast,5.0,76574.99999999,Medium
